ID,classify,LAT,LON,ALT
54662 ,Cropland,38.9,121.633,91.5
54660 ,Cropland,38.817,121.233,66.7
54584 ,Cropland,39.717,122.95,34.8
54575 ,Cropland,39.417,122.367,43.2
54563 ,Cropland,39.633,122.017,118.7
54497 ,Cropland,40.05,124.333,13.8
54493 ,Cropland,40.717,124.783,260.1
54486 ,Cropland,40.283,123.283,79.8
54483 ,Cropland,40.883,123.9,233.6
54476 ,Cropland,40.167,122.15,20.4
54472 ,Cropland,40.883,122.717,25.3
54471 ,Cropland,40.65,122.167,3.8
54470 ,Cropland,41.017,122.067,5.5
54455 ,Cropland,40.583,120.7,10.5
54454 ,Cropland,40.333,120.3,29
54452 ,Cropland,40.8,119.817,365.5
54386 ,Cropland,41.417,128.183,775
54377 ,Cropland,41.1,126.15,177.7
54374 ,Cropland,41.8,126.883,379.7
54365 ,Cropland,41.283,125.35,245.5
54363 ,Cropland,41.683,125.9,402.9
54353 ,Cropland,41.733,125.05,328.4
54351 ,Cropland,41.917,124.083,118.5
54349 ,Cropland,41.3,124.117,211.9
54346 ,Cropland,41.317,123.783,185.4
54342 ,Cropland,41.733,123.517,49
54339 ,Cropland,41.083,123,77.3
54337 ,Cropland,41.133,121.117,65.9
54335 ,Cropland,41.683,122.083,37.5
54334 ,Cropland,41.517,121.233,68.5
54333 ,Cropland,41.967,122.85,30.9
54326 ,Cropland,41.383,119.7,422
54324 ,Cropland,41.55,120.433,174.3
54320 ,Cropland,41.6,119.3,544.2
54316 ,Cropland,41.517,118.75,679.3
54313 ,Cropland,41.933,118.7,733.7
54292 ,Cropland,42.867,129.5,257.3
54286 ,Cropland,42.533,129,475.6
54285 ,Cropland,42.417,128.117,721.4
54284 ,Cropland,42.15,127.5,774.2
54276 ,Cropland,42.35,126.817,549.2
54273 ,Cropland,42.983,126.75,263.3
54266 ,Cropland,42.533,125.633,340.5
54263 ,Cropland,42.967,126.05,336.7
54260 ,Cropland,42.917,125.083,252.9
54259 ,Cropland,42.1,124.917,237.2
54254 ,Cropland,42.533,124.05,98.2
54243 ,Cropland,42.783,124.117,165.1
54237 ,Cropland,42.067,121.75,167.8
54236 ,Cropland,42.383,122.55,79.4
54234 ,Cropland,42.733,121.75,297.8
54231 ,Cropland,42.967,122.35,248.1
54226 ,Cropland,42.333,120.7,400.5
54225 ,Cropland,42.283,119.917,588.2
54223 ,Cropland,42.85,120.65,362.9
54218 ,Cropland,42.267,118.933,568.7
54214 ,Cropland,42.583,118.417,960
54213 ,Cropland,42.933,119.017,634.3
54195 ,Cropland,43.3,129.783,244.8
54192 ,Cropland,43.7,130.25,466.8
54186 ,Cropland,43.367,128.2,524.9
54181 ,Cropland,43.7,127.333,295
54172 ,Cropland,43.783,126.6,198.8
54171 ,Cropland,43.7,126.517,229.5
54169 ,Cropland,43.3,126.017,271.6
54165 ,Cropland,43.55,125.633,219.5
54161 ,Cropland,43.9,125.217,236.8
54157 ,Cropland,43.167,124.333,165.7
54142 ,Cropland,43.5,123.533,114.9
54135 ,Cropland,43.6,122.267,178.7
54134 ,Grassland,43.6,121.283,241
54132 ,Grassland,42.4,121.067,400
54122 ,Grassland,43.883,120.05,3734.9
54117 ,Grassland,43.25,117.533,1003.3
54115 ,Grassland,43.6,118.067,799.5
54113 ,Grassland,43.533,118.65,621.4
54096 ,Grassland,44.383,131.167,567.8
54094 ,Grassland,44.567,129.6,241.4
54064 ,Grassland,44.383,125.15,170.2
54063 ,Grassland,44.967,126,196.8
54049 ,Grassland,44.25,123.967,188.9
54047 ,Grassland,44.133,123.283,145.8
54041 ,Grassland,44.8,123.067,150
54039 ,Grassland,44.033,122.017,181.6
54027 ,Grassland,43.983,119.4,486.2
54026 ,Grassland,44.567,120.9,265
54024 ,Grassland,44.45,119.3,710
50983 ,Forest,45.767,132.967,100.2
50978 ,Cropland,45.3,130.933,280.8
50973 ,Cropland,45.75,130.583,220.5
50968 ,Cropland,45.217,127.967,189.7
50963 ,Cropland,45.967,128.733,108.6
50955 ,Cropland,45.383,126.3,166.4
50953 ,Cropland,45.75,126.767,142.3
50950 ,Cropland,45.7,125.25,148.7
50949 ,Cropland,45.083,124.867,136.2
50948 ,Cropland,45,124.017,146.3
50945 ,Cropland,45.5,124.267,137.6
50937 ,Cropland,45.05,121.467,249.9
50936 ,Cropland,45.633,122.833,155.3
50934 ,Cropland,45.4,121.533,305.3
50928 ,Cropland,45.067,120.333,628.3
50924 ,Cropland,45.533,119.667,823.7
50888 ,Cropland,46.317,132.183,83
50877 ,Cropland,46.3,129.583,100.1
50873 ,Cropland,46.783,130.3,82
50862 ,Cropland,46.983,128.017,210.5
50854 ,Cropland,46.383,125.317,149.3
50853 ,Cropland,46.617,126.967,179.6
50844 ,Cropland,46.4,123.45,138.8
50838 ,Barren,46.083,122.05,274.7
50834 ,Barren,46.6,121.217,499.7
50833 ,Barren,46.717,122.9,187.8
50832 ,Barren,46.717,122.083,332.6
50788 ,Barren,47.233,131.983,66.4
50775 ,Barren,47.333,130.267,227.9
50774 ,Barren,47.733,128.917,240.9
50758 ,Barren,47.167,125.9,247.2
50756 ,Grassland,47.433,126.967,239.2
50745 ,Grassland,47.383,123.917,147.1
50742 ,Grassland,47.8,124.483,162.7
50739 ,Grassland,47.333,123.183,190
50727 ,Grassland,47.167,119.933,997.2
50658 ,Grassland,48.05,125.883,234.6
50656 ,Grassland,48.283,126.517,269.7
50645 ,Forest,48.483,124.483,195
50639 ,Forest,48,122.733,306.5
50632 ,Forest,48.767,121.917,739.7
50618 ,Forest,48.217,118.267,642
50603 ,Cropland,48.667,116.817,554.2
50564 ,Cropland,49.433,127.35,234.5
50557 ,Cropland,49.167,125.233,242.2
50548 ,Cropland,49.2,123.717,286.1
50527 ,Cropland,49.217,119.75,610.2
50526 ,Cropland,49.283,120.7,668.8
50514 ,Cropland,49.567,117.433,661.7
50468 ,Cropland,50.25,127.45,166.4
50445 ,Cropland,50.583,123.733,423.7
50442 ,Cropland,50.4,124.117,371.7
50434 ,Cropland,50.483,121.683,732.6
50431 ,Cropland,50.783,121.517,717
50425 ,Cropland,50.25,120.183,581.4
50353 ,Barren,51.717,126.65,177.4
50349 ,Barren,51.7,124.333,494.6
50247 ,Barren,52.033,123.567,514.5
50246 ,Barren,52.35,124.717,361.9
50136 ,Barren,52.967,122.517,433
